id,category,sub_category,question,answer,keywords,ticker,difficulty,source_type,priority,last_updated
QA0001,Stock Basics,ownership,"In simple terms, what is common stock ownership rights?","Common stock ownership rights is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","ownership,stock,wealthscope_education,common",,beginner,educational,high,2026-04-12
QA0002,Stock Basics,exchanges,Can you explain how stock exchanges match orders like I'm new to markets?,"How stock exchanges match orders is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","exchanges,stock,wealthscope_education,how",,intermediate,educational,medium,2026-04-12
QA0003,Stock Basics,stock orders,How does market versus limit orders work for a typical investor?,"Market versus limit orders is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","stock_orders,stock,wealthscope_education,market",,advanced,educational,low,2026-04-12
QA0004,Stock Basics,ownership,What should I know about voting rights and annual meetings before reading charts or news?,"Voting rights and annual meetings is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","ownership,stock,wealthscope_education,voting",,beginner,educational,high,2026-04-12
QA0005,Stock Basics,exchanges,Why do people talk about primary versus secondary markets in finance discussions?,"Primary versus secondary markets is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","exchanges,stock,wealthscope_education,primary",,intermediate,educational,medium,2026-04-12
QA0006,Stock Basics,stock orders,Could you clarify stop orders and triggers without recommending any trades?,"Stop orders and triggers is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","stock_orders,stock,wealthscope_education,stop",,advanced,educational,high,2026-04-12
QA0007,Stock Basics,ownership,What is the intuition behind fractional shares?,"Fractional shares is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","ownership,stock,wealthscope_education,fractional",,beginner,educational,high,2026-04-12
QA0008,Stock Basics,exchanges,How is listing requirements at a high level usually used in analysis (not as advice)?,"Listing requirements at a high level is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","exchanges,stock,wealthscope_education,listing",,intermediate,educational,medium,2026-04-12
QA0009,Stock Basics,stock orders,What's a neutral overview of time-in-force instructions?,"Time-in-force instructions is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","stock_orders,stock,wealthscope_education,time-in-force",,advanced,educational,low,2026-04-12
QA0010,Stock Basics,ownership,"When analysts mention share classes and dual-class structures, what are they pointing to?","Share classes and dual-class structures is a standard market concept worth understanding for context. It helps frame how markets price risk and information. Readers should treat any numbers in external articles as snapshots, not forecasts. WealthScope content is informational; it does not tell you to buy or sell anything. This material is general education only and not personalized investment advice.","ownership,stock,wealthscope_education,share",,beginner,educational,high,2026-04-12
